91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
91,91,91,97,97,97,97,97,97,97,97,97,97,97,91,91
91,91,97,97,74,97,97,97,74,97,97,97,74,97,97,91
91,91,97,97,97,97,97,97,97,97,97,97,97,97,97,91
91,91,97,97,97,74,97,97,97,74,97,97,97,97,97,91
91,91,97,97,97,97,97,97,97,97,97,97,97,97,97,91
91,91,97,97,97,97,97,97,97,74,97,97,74,97,97,91
91,91,97,97,74,97,97,97,97,97,97,97,97,97,97,91
91,91,97,74,97,97,97,97,97,97,74,74,97,74,97,91
91,91,91,97,97,97,97,97,97,97,97,97,97,97,91,91
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
